# id           ra             dec              redshift   g_prime_delve           g_prime_err_delve       r_prime_delve           r_prime_err_delve       i_prime_delve          i_prime_err_delve       z_prime_delve         z_prime_err_delve       vista.vircam.Y_vhs    vista.vircam.Y_err_vhs   vista.vircam.J_vhs    vista.vircam.J_err_vhs   vista.vircam.H_vhs    vista.vircam.H_err_vhs   vista.vircam.Ks_vhs   vista.vircam.Ks_err_vhs   WISE1                 WISE1_err               WISE2                 WISE2_err             
  J0000+0051   0.091530555    0.8581032153     -1.0       0.004849891245011426    2.137441964081251E-4    0.02218006425737855     0.0010541938016165597   0.12425068737508962    0.006481740531791583    0.26916463610212216   0.014684197783121633    ""                    ""                       0.49328419416366637   0.005854929665027209     0.5318877645454391    0.011187737779578266     0.45757764625967334   0.009924954781214357      0.24547111988067627   0.008661031723022461    0.16247975826263428   0.011957928538322449  
  J0001+0033   0.4341798749   0.5520096077     -1.0       0.0072375637148290265   3.2520227475534187E-4   0.03847490888296392     0.0018821591062648593   0.31710245183250246    0.01746898488974058     0.8126059538184017    0.047435193065444525    ""                    ""                       1.7257759004413742    0.006485651725570474     1.904836042453385     0.013597108012544545     1.677921349693315     0.013432845667924465      0.9638285040855408    0.02280604839324951     0.6576576828956604    0.019688665866851807  
  J0002+0044   0.7345528689   0.7420474179     -1.0       1.2671382477110851E-5   4.347434563420856E-7    3.515814881018906E-4    1.376640176212337E-5    ""                     ""                      0.01995067527799966   9.430789776480875E-4    ""                    ""                       0.5283177475511934    0.005845050947472785     0.5751225550335937    0.011305771083911731     0.5555060587093499    0.012131625736633622      0.32960987091064453   0.010162115097045898    0.20701391994953156   0.013103976845741272  
  J0003-0026   0.8354945294   -0.4335175308    -1.0       0.005424033960060563    2.4033428720919136E-4   0.0265102607869947      0.0012717046868512376   0.18775054225794252    0.010028751018413884    0.44714708099997974   0.025149906851988035    ""                    ""                       0.8548729986263777    0.009097304986700472     0.872743051928562     0.009885310262751301     0.7708992089061917    0.010887995541235984      0.44096097350120544   0.012806564569473267    0.2932242155075073    0.014227151870727539  
  J0004-0042   1.020145195    -0.7141798986    -1.0       0.0013228640065052252   5.48894149277519E-5     0.008345254776243377    3.775966014384919E-4    0.1044464299285223     0.00539556930289764     0.32891342492429615   0.018159355431722646    ""                    ""                       0.8006243601396241    0.008644751153665253     0.8635510170443373    0.009618404531187674     0.8072603093365639    0.010266037578267384      0.4799540042877197    0.013080179691314697    0.3139059245586395    0.013851791620254517  
  J0005-0032   1.262600464    -0.548494608     -1.0       0.004723544378699493    2.0791326274438408E-4   0.023445742991002515    0.0011175499703855      0.17351267290446604    0.00922604311943992     0.4124643331969606    0.023085372765174528    ""                    ""                       0.7825534312021211    0.00857082650410923      0.8185266048512101    0.009844933505344877     0.7185205604912289    0.01012407156508155       0.4230581223964691    0.01304316520690918     0.25468283891677856   0.015240997076034546  
  J0012-0050   3.079902265    -0.8364155433    -1.0       6.715191466855155E-4    2.7037493750759942E-5   0.004396387860463795    1.9285159198640777E-4   0.06451156831763318    0.003244909531575052    0.21136311460739074   0.01136810848000408     ""                    ""                       0.5125624654900305    0.005568955473393755     0.5387389803844168    0.007902941248202233     0.48363308167502145   0.008662840669162786      0.2836611568927765    0.009503871202468872    0.17426073551177979   0.012378394603729248  
  J0013+0045   3.310935226    0.7532727241     -1.0       0.004998181238725752    2.20597498023882E-4     0.025267926212750924    0.001209087600873411    0.19435118815045233    0.01040216657061424     0.48210762463803847   0.02724147415675482     ""                    ""                       0.9655580745073158    0.00665657007106113      1.0164012722643991    0.008373726445676022     0.9072178779692707    0.010501297552003352      0.5311287045478821    0.014474868774414062    0.3480168581008911    0.016275078058242798  
  J0013-0923   3.340846892    -9.388645948     -1.0       0.004923319269510522    2.1713642035422857E-4   0.02499624656888883     0.0011954162817348034   0.17987781355263743    0.009584421541538823    0.4334869223529942    0.024335490976298002    0.5961253631400733    0.005812291715922013     0.8550100114854045    0.007727192437989361     ""                    ""                       0.8442798027402393    0.018785652570079137      0.45708808302879333   0.012866407632827759    0.29702967405319214   0.015191465616226196  
  J0015-0848   3.837773974    -8.805505669     -1.0       0.004318192512202892    1.8925973740912226E-4   0.020563053242116415    9.735367562737803E-4    0.12483569975333557    0.006513991349814993    0.27256594929136885   0.014880821230240704    0.37367565117141116   0.005502936278800108     0.4864497673247427    0.0075458384070044016    ""                    ""                       0.4982884263347224    0.017043681579095638      0.26037535071372986   0.008723706007003784    0.1617334634065628    0.010934069752693176  
  J0016-0941   4.192619486    -9.695990975     -1.0       0.00593403358533823     2.6407341629779407E-4   0.028046482423496267    0.0013493558938012101   0.16140285033928134    0.00854644965640633     0.34850547080492267   0.019307985054353938    0.49198198453211023   0.005789770158054153     0.653547563658013     0.007724426389328576     ""                    ""                       0.6192727926767184    0.017406529777146518      0.38441455364227295   0.011508435010910034    0.22080017626285553   0.012638896703720093  
  J0017-0008   4.418250034    -0.1426160304    -1.0       0.00456501700867973     2.0060823130518563E-4   0.02036929509710787     9.638944728875345E-4    0.11083170134155855    0.005744539191632467    0.23521358432391937   0.012730363816921525    ""                    ""                       0.3884049892548875    0.005395089001106301     0.4015266727184779    0.00916046228234324      0.3405609118564573    0.012792724023543811      0.1884516477584839    0.007651075720787048    0.13944409787654877   0.01226969063282013   
