ra_decals,dec_decals,ls_id,mag_g,snr_g,mag_r,snr_r,mag_i,snr_i,mag_z,snr_z,query_name
0.4484975570950757,-3.879857669884624,10995438543970650,27.487505,0.591521,23.161646,24.306696,21.117088,98.94329,20.83642,83.30753,J000147.64-035247.4
0.6371570055059378,13.2426978776418,10995542098184932,26.8478,0.6489806,24.30123,4.036462,inf,0.0,21.398422,25.023882,J000232.92+131433.7
0.6384958514413521,21.45694849612373,10995589714020279,27.828083,0.37120578,26.498363,0.6688307,inf,0.0,21.52704,27.921926,J000233.24+212725.0
1.265615411917686,21.75171155035376,10995591123307915,,-0.58947855,22.14174,22.489634,inf,0.0,19.82494,82.28819,J000503.75+214506.1
1.580769637772525,13.61379551558545,10995543574577788,26.373285,1.3258848,22.586897,24.631199,inf,0.0,21.347431,29.224846,J000619.38+133649.6
2.324993342906412,-10.28971871116661,10995401088828465,,-1.3969516,23.466112,11.192569,21.485947,51.703312,21.308645,27.94097,J000918.00-101723.0
2.666819984212423,11.9731877007542,10995534728792997,31.590466,0.013389611,22.644178,23.930534,inf,0.0,20.300274,97.899475,J001040.04+115823.4
2.956139644687098,7.755699043970621,10995509410925516,25.365635,3.5911603,21.645338,56.57504,inf,0.0,19.87329,116.61411,J001149.47+074520.5
4.436311476587897,23.02553052785135,10995598134085346,27.717527,0.3689251,22.97608,14.543564,inf,0.0,21.469475,25.246256,J001744.71+230131.9
4.64584966979855,8.266516917458135,10995512412997251,,-0.24120614,23.645985,8.637511,inf,0.0,21.209373,32.986576,J001835.00+081559.4
4.800562238330899,4.597603081563852,10995489882244196,26.00504,2.1003587,22.263441,50.11473,20.126682,212.3985,20.223644,112.69798,J001912.13+043551.3
6.639454078502193,16.49376099413599,10995561126693083,,-0.7966002,23.239162,12.276051,inf,0.0,21.426693,23.198568,J002633.47+162937.5
6.640031784271371,25.28142352417712,10995610578583872,,-1.0313278,23.27101,8.345522,inf,0.0,21.079737,40.089897,J002633.61+251653.1
7.485463780313157,29.15344531938938,10995632116335240,26.350693,0.7567246,22.108679,22.071234,inf,0.0,20.480377,36.838696,J002956.51+290912.4
7.995298529758283,14.82819014103667,10995550933488475,25.819435,1.4720155,21.400503,59.014534,inf,0.0,20.076529,101.7193,J003158.87+144941.4
8.460840642576024,2.599726762400983,10995477827821842,25.702774,3.670316,21.58513,113.02522,20.26319,192.3013,20.141996,136.49915,J003350.60+023559.0
8.759672081392289,-2.5316485937927,10995447630922228,25.45247,4.7278004,22.139414,72.71878,21.447706,78.45321,20.955345,85.83708,J003502.32-023153.9
9.274319250834344,24.18147418197607,10995605087195511,,-0.9079636,22.720627,17.557999,inf,0.0,20.291418,90.71704,J003705.84+241053.3
9.887810141851388,31.2880630969191,10995642590564625,25.166113,3.7061503,21.973291,35.56153,inf,0.0,20.376122,60.458538,J003933.07+311717.0
11.09317243850831,17.08561426183386,10995564040685354,25.306757,3.2066066,22.693893,16.630049,inf,0.0,21.23336,31.73698,J004422.36+170508.2
12.50933864835073,11.06876420552887,10995528841036701,,-0.31784454,22.967897,11.542727,21.135124,26.111044,21.045315,31.907772,J005002.24+110407.5
13.49542043444704,-14.86752684355452,10995374588168026,25.748854,2.473575,22.089958,38.322353,20.504736,89.41133,20.479364,65.68721,J005358.90-145203.0
13.54592648937447,-11.92520633288968,10995390756159905,25.664722,2.0176213,22.121696,30.942665,20.973143,51.98021,21.001469,39.5457,J005411.02-115530.7
14.24579914542158,-5.140486043998601,10995431070768147,25.61454,3.301131,22.60494,34.565468,21.445618,53.301693,21.30465,43.43887,J005658.99-050825.7
14.56071163140874,3.872774037059628,10995485399582147,27.14442,0.799526,22.529863,51.3444,21.402914,93.692154,21.369354,57.389732,J005814.57+035222.0
15.26532706673456,3.436004445864727,10995483893835432,24.719568,8.565685,21.480844,125.86877,19.928122,277.72983,19.816511,211.33066,J010103.68+032609.6
15.98021640057154,3.838480192016526,10995485404831395,29.55056,0.09720263,22.637089,44.237667,21.017157,121.5784,20.92759,75.62185,J010355.25+035018.5
16.34179825056076,-13.39945535658891,10995381925056578,26.160522,1.4624254,22.680008,22.042786,21.062773,72.760345,20.866737,46.099354,J010522.03-132358.0
16.93500636721034,4.074982100277881,10995486916876774,26.634394,1.3779691,24.00167,12.781543,21.684849,71.46082,21.386246,50.312645,J010744.40+040429.9
18.32729174481936,6.107704787014095,10995498969202729,,-0.85218173,22.532665,24.961695,20.800236,41.199387,20.525629,68.43043,J011318.55+060627.7
18.41799298196473,25.15714829176292,10995610622627602,,-1.2094281,23.275284,12.556492,inf,0.0,21.125042,31.975044,J011340.32+250925.7
18.54044131046178,3.402357239535403,10995483908506334,26.285202,2.0137708,22.472816,54.47927,20.911352,130.81992,20.713408,109.3178,J011409.71+032408.4
18.62048118277028,25.77849262746338,10995613356262754,26.861677,0.9603992,26.289341,0.89794433,inf,0.0,20.651749,49.489555,J011428.92+254642.5
18.95040489722189,26.333348618788,10995616079413829,,-0.26468694,24.420355,3.8228393,inf,0.0,21.465683,23.279179,J011548.10+262000.0
18.97252404889169,3.308157442429857,10995482401709308,,-1.3186349,,-0.5706271,24.554163,5.264463,20.798399,101.70303,J011553.41+031829.3
19.72237098407705,22.17628319640074,10995594003743075,24.122734,9.276878,21.504686,37.806923,inf,0.0,20.107054,70.740166,J011853.37+221034.6
20.17537425970134,8.554430426141048,10995513972232752,31.00328,0.01645337,23.080448,11.894694,inf,0.0,20.914923,55.892143,J012042.09+083315.9
20.30769084623413,11.22045813965438,10995530357280681,25.291399,3.2547677,22.642284,19.896635,21.646847,23.69096,21.365757,26.500582,J012113.85+111313.6
20.34173675043395,22.47549751430015,10995595404641636,24.670815,5.242491,21.133572,62.01058,inf,0.0,19.145561,173.68813,J012122.02+222831.7
21.64407556236683,28.20499550917192,10995626858776359,24.14831,12.216673,20.897022,91.83883,inf,0.0,19.527956,138.51982,J012634.58+281217.9
22.57620675167421,27.04210234659691,10995620154183280,24.011595,11.167452,21.23396,61.178444,inf,0.0,19.881197,85.48425,J013018.29+270231.5
22.6813201423555,17.69827083801171,10995568419540237,25.28906,3.8850253,22.578924,26.07683,inf,0.0,20.770554,59.004715,J013043.52+174153.7
23.33209288005172,23.65407959398845,10995602375576140,,-0.031552624,22.502928,26.186275,inf,0.0,20.682133,50.63492,J013319.70+233914.6
23.85398599061357,17.67468352801497,10995568424780010,,-0.7038385,22.545902,26.192036,inf,0.0,20.19223,103.84253,J013524.96+174028.8
24.24318228779765,22.88319401338772,10995598210631845,26.702036,0.91292435,21.694435,54.97849,inf,0.0,19.873064,101.46309,J013658.36+225259.5
24.68346639148864,6.828425045531502,10995503502197866,,-0.4860163,21.752937,53.479473,inf,0.0,19.690424,160.38234,J013844.03+064942.3
24.83474561843569,20.46900241731185,10995584159711872,26.082232,1.6597693,22.538507,18.445173,inf,0.0,20.958263,40.84619,J013920.34+202808.4
26.10874235316618,8.586622392324545,10995513997396010,27.226452,0.5995952,23.646393,7.210682,inf,0.0,21.388424,29.011549,J014426.10+083511.8
27.1637873222666,-1.455184603044517,10995453747271873,26.630182,1.4854549,22.652292,47.93796,20.688429,103.66848,20.724838,97.871414,J014839.31-012718.6
27.52678033315626,-13.43769729926131,10995381971192250,26.0565,2.4457521,22.547256,44.117043,20.729147,134.85736,20.533564,91.783936,J015006.43-132615.7
27.62946289777138,-13.53150480010838,10995381971196587,26.101889,2.8768058,22.193861,75.031845,20.801962,159.3622,20.780077,98.69151,J015031.07-133153.4
28.32188775245666,5.096310987664816,10995492991278177,26.589817,1.0281553,22.622913,29.136686,21.193346,67.83201,21.223772,39.93935,J015317.25+050546.7
29.30813280561014,-5.489667599451145,10995429630024804,25.969805,3.0137992,22.625164,49.056755,21.30295,95.27753,21.17638,64.17435,J015713.95-052922.8
29.68204720460527,5.785006106426438,10995497512732186,28.208563,0.25315443,23.100609,16.175976,inf,0.0,21.355383,41.417233,J015843.69+054706.0
30.12297129621803,19.76083122985109,10995579915078639,27.19832,0.6596634,25.521135,1.5156151,inf,0.0,20.834557,40.548782,J020029.51+194538.9
30.26023307632127,-5.069120900774711,10995432643631907,26.051329,2.4725652,22.632177,48.252083,21.239212,98.49275,20.87678,70.17302,J020102.46-050408.8
30.42872166149616,-1.897375709115128,10995450741004636,25.134329,5.965987,21.30037,141.81071,19.527283,384.8489,19.49829,228.87094,J020142.89-015350.5
30.63309111753952,-7.431868606061326,10995417624877747,26.439829,1.8597459,22.796427,38.96373,21.273605,81.16727,21.00346,64.95312,J020231.94-072554.7
