# ls_id        ra_1        dec_1        
  J0000+0051   0.0913      0.858        
  J0001-0942   0.365981    -9.70266     
  J0001+0033   0.434174    0.55221      
  J0002-0041   0.576239    -0.69138     
  J0002+0044   0.734428    0.74215      
  J0003-1040   0.827501    -10.6753     
  J0003-0026   0.835533    -0.43349     
  J0003-0919   0.964669    -9.32774     
  J0004-1019   1.002953    -10.3278     
  J0004-0042   1.019897    -0.71439     
  J0004-0928   1.061706    -9.46787     
  J0005-0032   1.262406    -0.5484      
  J0005-1035   1.295489    -10.59234    
  J0006-0854   1.567869    -8.90942     
  J0007-0028   1.849315    -0.46865     
  J0007-0924   1.925192    -9.41263     
  J0007-0954   1.986108    -9.90622     
  J0008-0851   2.049654    -8.8625      
  J0008+1503   2.090806    15.06189     
  J0008+1519   2.179069    15.33146     
  J0009-0942   2.25936     -9.70923     
  J0009-1037   2.289316    -10.63019    
  J0009+1429   2.40654     14.4915      
  J0010-0920   2.620349    -9.34913     
  J0011-1045   2.781569    -10.75195    
  J0011+1357   2.948625    13.96577     
  J0012-0050   3.079907    -0.83657     
  J0012+1401   3.111411    14.02894     
  J0012+1504   3.156597    15.07338     
  J0013-0025   3.288854    -0.43108     
  J0013+0045   3.310902    0.75329      
  J0013+1529   3.326924    15.48943     
  J0013-0923   3.340631    -9.38855     
  J0013+1402   3.368251    14.0381      
  J0013-1052   3.471153    -10.8787     
  J0014+1536   3.656191    15.60583     
  J0014-1041   3.667767    -10.69508    
  J0015+1448   3.768464    14.81069     
  J0015+1602   3.792593    16.0457      
  J0015-0848   3.837867    -8.8054      
  J0015-0100   3.854963    -1.00107     
  J0015-1026   3.919589    -10.44058    
  J0016+1528   4.165631    15.4797      
  J0016-0941   4.192649    -9.69582     
  J0016-0041   4.200055    -0.68668     
  J0016-0935   4.229065    -9.59799     
  J0017-0850   4.386064    -8.84537     
  J0017-0008   4.418166    -0.14239     
  J0017+1453   4.472465    14.890075    
  J0018-0037   4.504468    -0.62618     
  J0018+0013   4.538636    0.22049      
  J0018-0048   4.595217    -0.80145     
  J0018-1038   4.660599    -10.63838    
  J0018-1016   4.704099    -10.27024    
  J0018+1433   4.713143    14.55158     
  J0019+0017   4.754216    0.29623      
  J0019-1004   4.930824    -10.08197    
  J0019+0027   4.945373    0.46278      
  J0019+1556   4.972317    15.93438     
  J0019-1035   4.994312    -10.59974    
  J0020-0924   5.22323     -9.40269     
  J0020+1417   5.224158    14.28587     
  J0020-1021   5.245152    -10.35241    
  J0021-0922   5.269415    -9.37508     
  J0021-6644   5.317706    -66.734802   
  J0021+0054   5.421175    0.90973      
  J0021+1509   5.433991    15.16135     
  J0022+0048   5.537518    0.80749      
  J0022-0935   5.544543    -9.59676     
  J0022+1418   5.591828    14.31308     
  J0022+0000   5.611012    0.00647      
  J0023+1554   5.816853    15.90978     
  J0023+1609   5.82999     16.15721     
  J0023-0853   5.841103    -8.88763     
  J0023-1111   5.856756    -11.18512    
  J0023+1606   5.933762    16.10318     
  J0023-1033   5.992467    -10.55038    
  J0024+1537   6.134365    15.62604     
  J0025-0017   6.359692    -0.28465     
  J0025-1048   6.366751    -10.80649    
  J0025+1534   6.368192    15.57854     
  J0025+1436   6.479745    14.61138     
  J0025+3911   6.490086    39.193439    
  J0026+1401   6.562512    14.0303      
  J0026-0917   6.596072    -9.29067     
  J0026-0944   6.705295    -9.73988     
  J0026-0922   6.743606    -9.38311     
  J0027-0906   6.754001    -9.11214     
  J0027-0914   6.860551    -9.24112     
  J0027-0912   6.901502    -9.20612     
  J0027+0503   6.924875    5.0615833    
  J0027+1459   6.9381      14.99047     
  J0027-1050   6.949947    -10.83758    
  J0027-0934   6.951694    -9.57768     
  J0028+1451   7.205216    14.86487     
  J0029+1509   7.319521    15.15504     
  J0029-0113   7.444267    -1.22175     
  J0031-0025   7.797827    -0.43287     
  J0031+1519   7.805851    15.33032     
  J0031+0002   7.871158    0.03526      
  J0032-0045   8.036172    -0.76372     
  J0033+1354   8.31299     13.90347     
  J0033+0052   8.321379    0.8797       
  J0033-0005   8.333701    -0.09251     
  J0033+0100   8.361494    1.00059      
  J0033+0011   8.475581    0.191        
  J0034+1517   8.584322    15.29391     
  J0034-0010   8.593258    -0.1705      
  J0034+0021   8.632737    0.35537      
  J0034-0030   8.74234     -0.51198     
